SPECIES,FR,TIME,SALINITY,CF,PCNKA,GNKA,MOISTURE,HEMATOCRIT,OSMOLALITY,LACTATE,GLUCOSE
G,50.0,72,0,0.35,4.7,9.2,80.9,21.5,261,7.0,68.7
G,50.0,72,0,0.35,7.1,13.4,82.4,24.5,280,11.3,69.5
G,50.0,72,0,0.36,5.0,16.0,81.6,21.0,271,9.2,58.6
G,50.0,72,0,0.33,6.2,6.1,83.2,22.5,282,13.9,67.5
G,50.0,72,8,0.37,6.6,14.2,83.2,21.5,285,3.6,48.9
G,50.0,72,8,0.33,6.3,18.8,83.6,18.5,268,4.6,58.8
G,50.0,72,8,0.36,7.8,38.0,81.7,26.5,282,4.8,77.8
G,50.0,72,8,0.34,7.7,10.6,82.4,25.0,286,4.7,59.7
G,50.0,72,8,0.32,6.4,11.5,82.8,21.5,279,5.2,60.1
G,50.0,72,8,0.37,6.4,3.5,81.7,26.5,276,5.5,54.7
G,50.0,72,16,0.37,4.9,18.0,82.7,24.0,274,8.8,55.2
G,50.0,72,16,0.34,7.1,2.2,81.9,23.0,287,6.9,58.0
G,50.0,72,16,0.38,8.1,3.1,82.7,18.0,288,11.0,64.5
G,50.0,72,16,0.33,6.6,3.2,81.1,26.5,291,9.3,61.3
G,50.0,72,16,0.35,6.3,2.4,83.7,26.0,285,7.8,59.0
G,50.0,72,16,0.33,5.5,2.9,86.1,20.0,282,8.1,49.6
G,50.0,72,32,0.33,16.5,8.1,80.1,21.0,331,7.6,55.1
G,50.0,72,32,0.36,19.5,28.3,80.7,23.5,312,9.6,48.0
G,50.0,72,32,0.32,18.8,26.6,80.6,23.5,294,8.5,57.9
G,50.0,72,32,0.35,13.0,5.4,83.2,20.5,310,7.0,58.7
G,50.0,72,32,0.44,14.3,30.0,83.7,21.5,300,5.1,50.9
G,50.0,72,32,0.35,17.6,5.8,81.1,23.0,371,9.5,79.3
G,100.0,72,0,0.34,4.5,8.9,79.7,25.5,262,8.3,55.8
G,100.0,72,0,0.35,6.6,27.7,80.4,24.5,277,14.4,83.2
G,100.0,72,0,0.43,6.7,10.7,79.6,29.5,272,11.1,81.9
G,100.0,72,0,0.39,5.8,6.6,79.1,31.0,273,12.2,64.3
G,100.0,72,0,0.26,5.6,6.5,79.2,23.5,282,16.0,79.7
G,100.0,72,0,0.40,6.3,4.4,78.3,24.0,278,14.7,67.8
G,100.0,72,8,0.39,8.6,3.0,79.4,19.0,279,9.4,60.1
G,100.0,72,8,0.33,5.8,4.5,80.1,22.0,276,4.7,66.6
G,100.0,72,8,0.34,5.7,10.2,80.9,22.5,274,5.1,64.5
G,100.0,72,8,0.37,7.8,4.3,79.6,26.0,279,14.4,63.4
G,100.0,72,8,0.38,5.7,3.9,79.8,17.0,290,7.6,66.3
G,100.0,72,8,0.37,6.8,0.6,79.3,23.5,273,8.6,61.6
G,100.0,72,16,0.42,6.7,3.3,80.7,23.0,279,9.1,61.4
G,100.0,72,16,0.44,6.5,3.4,79.2,24.5,283,12.9,67.1
G,100.0,72,16,0.37,10.1,3.7,79.7,22.5,280,10.6,63.0
G,100.0,72,16,0.36,7.2,17.7,79.0,24.5,304,9.9,74.9
G,100.0,72,16,0.40,8.1,3.8,80.4,25.0,299,9.1,63.4
G,100.0,72,16,0.34,6.8,12.1,80.2,19.0,294,7.0,58.0
G,100.0,72,32,0.41,13.8,23.0,80.4,15.0,331,10.3,55.0
G,100.0,72,32,0.36,13.6,5.9,80.8,22.0,315,11.7,76.7
G,100.0,72,32,0.37,13.3,4.5,81.1,24.5,296,7.4,57.6
G,100.0,72,32,0.34,12.3,22.5,82.4,20.0,314,10.1,78.2
G,100.0,72,32,0.44,10.1,4.7,80.6,24.5,337,7.4,50.6
G,100.0,72,32,0.42,11.3,15.2,81.5,24.5,310,8.7,55.0
G,12.5,120,0,0.33,6.9,10.0,91.5,31.0,284,2.9,39.0
G,12.5,120,0,0.30,5.8,10.1,86.1,27.0,263,3.8,48.1
G,12.5,120,0,0.30,9.4,14.6,87.2,25.0,273,3.6,50.3
G,12.5,120,0,0.31,7.5,1.5,87.9,28.5,262,3.9,50.1
G,12.5,120,0,0.32,7.4,11.7,84.1,29.0,268,3.3,49.0
G,12.5,120,0,0.32,8.7,6.3,86.0,23.0,271,3.1,49.0
G,12.5,120,8,0.30,3.8,7.0,89.5,21.5,272,1.8,27.5
G,12.5,120,8,0.31,6.3,1.5,86.0,24.5,271,2.6,48.5
G,12.5,120,8,0.35,8.0,2.4,86.3,24.5,291,3.1,48.4
G,12.5,120,8,0.32,7.5,2.3,86.3,27.5,275,1.5,48.7
G,12.5,120,8,0.30,7.7,6.5,87.7,25.0,265,1.9,47.9
G,12.5,120,8,0.31,8.6,20.5,87.8,22.0,260,1.5,50.4
G,12.5,120,16,0.31,9.5,19.3,92.1,21.0,266,2.3,43.8
G,12.5,120,16,0.30,10.1,2.1,87.1,24.5,280,3.0,52.5
G,12.5,120,16,0.30,9.6,2.0,85.2,22.5,288,1.4,46.1
G,12.5,120,16,0.30,7.1,10.8,91.2,22.0,264,1.7,41.7
G,12.5,120,16,0.35,7.9,28.0,86.3,20.0,277,4.4,50.3
G,12.5,120,16,0.30,9.2,5.8,86.6,24.0,269,3.3,52.0
G,12.5,120,32,0.35,16.2,17.6,85.8,23.0,296,4.7,42.7
G,12.5,120,32,0.31,16.4,16.7,83.8,25.5,296,5.1,47.9
G,12.5,120,32,0.27,18.7,23.4,86.2,16.0,286,4.1,48.7
G,12.5,120,32,0.40,14.3,6.0,84.5,17.5,318,4.1,44.5
G,12.5,120,32,0.30,18.0,13.4,90.8,21.5,296,3.6,43.0
G,25.0,120,0,0.34,7.4,3.3,85.6,26.0,265,4.6,42.3
G,25.0,120,0,0.29,9.0,15.8,84.1,25.0,265,4.7,48.6
